,Evaluation_vector.csv,Graduate_vector.csv,Portrait_vector.csv,Scholarship_vector.csv,Tags_vector.csv,atten_vector_data.xlsx,dorm_vector_data.xlsx,run_vector_data.xlsx,student_behavior_vector.xlsx,体测数据_特征轨迹_vector.xlsx,体育课_特征向量_vector.xlsx,体能_vector_variable.csv,作业提交_vector_composite.csv,四六级_特征向量_vector.xlsx,图书馆_特征轨迹_vector.xlsx,基本信息_vector_variable.csv,学生签到_特征向量.csv,学科竞赛_vector_composite.csv,学籍异动_vector_composite.csv,成绩_vector_variable.csv,日常锻炼_vector.xlsx,社团活动_特征向量_vector.xlsx,线上学习_vector_composite.csv,讨论记录_特征向量_vector.xlsx,选课_vector_variable.csv,cluster
pjwrqxbj938,-0.945761008486635,0.12822861655550746,-1.094568951822435,0.6335637060213304,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,0.6222013526531821,0.8568236965352574,0.4836545106819291,1.2876627477250364,0.6648164248589261,-0.3977084849083411,0.4560529084865827,-0.47939191112537816,-0.5608195858944052,0.8557859489489726,0.681466483740603,-0.023112033126248908,0.34589851112132886,-0.2947087576168525,0.41876851392702186,1.1951922961488595,-2.2617717017671426,-0.6120121238878009,3
pjwrqxbj944,-0.8357908433359968,0.12822861655550746,-0.9762349472312505,0.6335637060213304,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,0.4768822320630865,1.6224242914029527,-0.41154241894939897,0.8159212064101312,0.6648164248589261,1.1680115879718918,0.217939396154715,-0.47939191112537816,2.124095149417186,0.6811343301284792,0.681466483740603,-0.023112033126248908,0.11119823617239516,-0.2947087576168525,0.3617967700626066,1.1951922961488595,-2.2617717017671426,-0.5727260670348986,3
pjwrqxbj945,1.1803288510923677,0.12433988539585653,-0.20048980602237382,-1.040367023705426,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,0.33156311147299083,-1.057177790633981,1.3788514403132572,-0.8875899150048047,0.6648164248589261,-0.5329922819578395,0.3078892166649393,-0.47939191112537816,-0.612452561573474,-0.08733279268169152,-0.613131532665435,-0.023112033126248908,0.15324577127813221,0.0034044881649737137,-2.031016472242844,1.1951922961488595,0.24146709462498248,-0.6499858196062372,3
pjwrqxbj948,0.7404481904898155,0.12822861655550746,-0.2651352344564469,-1.040367023705426,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,0.23468369774625975,-0.29157719576628566,0.4836545106819291,0.029685304218622192,0.6648164248589261,1.0084753766133183,0.19409048758519795,-0.47939191112537816,2.124095149417186,0.36676141625159137,-0.613131532665435,-0.023112033126248908,-0.13450154347487936,-0.44376538050776565,0.3617967700626066,1.1951922961488595,-2.2617717017671426,-0.48245748934809085,3
pjwrqxbj949,-0.5058803478840826,0.12822861655550746,-0.41853116633390836,-0.03600858586937225,0.1420197817053482,-0.12252316215187661,-0.039726706583261565,0.4768822320630865,-1.4399780880678288,0.036056045866265055,1.2090391575058856,-1.6353127517928796,-0.4488940725772545,-1.527725596461252,-0.47939191112537816,-0.612452561573474,1.72904404305144,-0.613131532665435,-0.023112033126248908,0.7687544294480675,-0.788458820943002,0.532712001655853,1.1951922961488595,0.36215278249688093,-0.5620945428069595,3
pjwrqxbj951,-1.568925277673584,0.1321173477151597,0.3254391032717799,1.637922143857384,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,0.33156311147299083,-0.29157719576628566,-1.306739348580727,-0.7827584613792701,0.6648164248589261,-0.777716246999173,0.39521002363206753,-0.47939191112537816,-0.5608195858944052,-0.15719344020988935,1.8877964535735021,-0.023112033126248908,1.6212920274950349,-0.15496817365662144,0.7036272332490993,1.1951922961488595,-2.2617717017671426,-0.5168696089531021,3
pjwrqxbj952,1.9134632854299547,0.12822861655550746,-1.4616235031006464,-1.040367023705426,-1.963858522909727,0.35182734642682845,-0.039726706583261565,-1.6060251630616178,-0.10017704704936173,0.6328539989538174,2.002763020670647,0.6648164248589261,1.1748398581271067,-1.2552471213874814,-0.47939191112537816,1.814297295342771,-0.820869591727764,-0.613131532665435,-0.02237270211186929,-1.8050126666574273,1.3370690087678798,-2.031016472242844,1.1951922961488595,0.3018099385609317,-1.2984958773738822,3
pjwrqxbj955,0.8870750773573328,0.1321173477151597,0.19614824640363374,-1.040367023705426,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,-0.055954543433931005,0.4740233991014099,0.4836545106819291,0.21314034806330776,0.08978413069597467,1.4953778825914827,0.167800352154235,-0.47939191112537816,2.1757281250962537,1.170158862825861,-0.613131532665435,-0.023112033126248908,-0.4422159448323699,0.0034044881649737137,0.532712001655853,1.1951922961488595,0.3319813605289063,-0.5529023793860315,3
pjwrqxbj956,-0.17596985243216848,0.12822861655550746,-0.05914641164957002,-0.03600858586937225,0.1420197817053482,-0.12252316215187661,-0.039726706583261565,-0.24971337088739218,-0.10017704704936173,0.036056045866265055,-0.8089663247856538,0.08978413069597467,-0.433650131966918,0.21268136906852209,-0.47939191112537816,-0.5608195858944052,1.5543924242309468,-0.613131532665435,-0.023112033126248908,0.5438063283032999,0.0034044881649737137,0.7605989771135151,1.1951922961488595,0.5731054295352613,-0.5168696089531021,3
pjwrqxbj965,-1.4956118342398252,0.12822861655550746,0.03289114747690688,2.307494435748087,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,0.33156311147299083,-0.10017704704936173,-1.7543378133963912,-0.4944719639090501,0.6648164248589261,-0.5877655734253463,0.46131093557277564,-0.47939191112537816,-0.5608195858944052,1.100298215297664,0.681466483740603,-0.023112033126248908,1.0319267943963826,-0.3344571903877625,0.8745424648423457,1.1951922961488595,0.3018099385609317,-0.4939823996481991,3
pjwrqxbj967,-1.348984947372308,0.12822861655550746,0.8152104000519604,1.3031359979120332,0.1420197817053482,-0.12252316215187661,-0.039726706583261565,0.8643998869700078,1.2396239939691052,-0.41154241894939897,-0.5468876907218175,0.6648164248589261,-0.5331747075747171,0.609474627394419,-0.47939191112537816,-0.612452561573474,0.5414130350720847,1.8583737713824557,-0.023112033126248908,1.064576992797256,-0.44376538050776565,0.532712001655853,1.1951922961488595,0.24146709462498248,-0.46431575357599475,3
pjwrqxbj973,-0.2126265741490477,0.1321173477151597,1.5011093525897525,-0.03600858586937225,-0.5599396531663435,-0.12252316215187661,-0.039726706583261565,0.525321938926451,0.09122310166756203,0.036056045866265055,-0.022730422594144872,0.6648164248589261,0.2602357605935449,-1.4482918301234127,2.0394692323876122,-1.1804152940432344,-0.2619844115021849,-0.613131532665435,-0.01959928571908888,0.5464010900054833,-0.1456521347259394,0.3617967700626066,-1.1512503367697147,0.513009892336754,1.8503240004285826,3
pjwrqxbj974,-0.43256690445032386,0.12822861655550746,-0.5883623766268121,1.3031359979120332,0.8439792165770399,-0.12252316215187661,-0.039726706583261565,0.5737616457898166,0.09122310166756203,0.4836545106819291,0.08210103103138953,0.08978413069597467,1.8299819355927727,0.38187716923493636,-0.47939191112537816,2.124095149417186,1.3797408054104527,-0.613131532665435,-0.023112033126248908,0.9407636165640288,-0.1373712112319998,0.47574025779143764,1.1951922961488595,0.3319813605289063,-0.4299955159630522,3
pjwrqxbj977,0.08062719958598707,0.12822861655550746,2.9244044633670563,-1.040367023705426,0.1420197817053482,-0.12252316215187661,-0.039726706583261565,0.18624399088289523,1.8138244401198766,0.036056045866265055,0.21314034806330776,0.6648164248589261,0.2146614547231491,0.34751220649303427,-0.47939191112537816,0.730004806082321,0.8557859489489726,-0.613131532665435,-0.022813784478806477,-0.18867236867887083,-0.2947087576168525,0.30482502619819074,1.1951922961488595,0.4224956264328302,-0.17436743883847527,3
pjwrqxbj978,-0.5058803478840826,0.12822861655550746,-0.1347486923606046,-1.040367023705426,-1.963858522909727,-0.12252316215187661,-0.039726706583261565,0.525321938926451,-1.4399780880678288,0.036056045866265055,-0.8089663247856538,-1.6353127517928796,-0.5424966565971636,0.6385815630501281,-0.47939191112537816,-0.5608195858944052,0.192109797431098,-0.613131532665435,-0.023112033126248908,0.7503188331888344,0.16177714998656886,0.3617967700626066,1.1951922961488595,-2.2617717017671426,-0.516282621838305,3
